,Station / Province,Province,,,,,,Station / Province,Province,,,,Eastern Cape,,,Joza,Eastern Cape,,,,,,,,,CLUSTER,PROVINCE,,Cluster,,,,Murder,,,Murder,,,,CLUSTER,PROVINCE,,,,,,,,,,Province,Cluster,Station,,Province,Cluster,Station
,Inchanga,Kwazulu/Natal,,,Ladybrand,,,Ladybrand,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Ladybrand Cc,Ladybrand,,Free State,Ladybrand Cc,Ladybrand
,Ingogo,Kwazulu/Natal,,,Ladysmith,,,Ladysmith,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Ladysmith Cc,Ladysmith,,Kwazulu/Natal,Ladysmith Cc,Ladysmith
,Ingwavuma,Kwazulu/Natal,,,Laersdrift,,,Laersdrift,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Groblersdal Cc,Laersdrift,,Limpopo,Groblersdal Cc,Laersdrift
,Int Airp King Shaka,Kwazulu/Natal,,,Laingsburg,,,Laingsburg,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Worcester Cc,Laingsburg,,Western Cape,Worcester Cc,Laingsburg
,Intsikeni,Kwazulu/Natal,,,Lambertsbaai,,,Lambertsbaai,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Vredendal Cc,Lambertsbaai,,Western Cape,Vredendal Cc,Lambertsbaai
,Isipingo,Kwazulu/Natal,,,Lamontville,,,Lamontville,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Chatsworth Cc,Lamontville,,Kwazulu/Natal,Chatsworth Cc,Lamontville
,Ixopo,Kwazulu/Natal,,,Langa,,,Langa,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Bishop Lavis Cc,Langa,,Western Cape,Bishop Lavis Cc,Langa
,Jozini,Kwazulu/Natal,,,Langebaan,,,Langebaan,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Vredenburg Cc,Langebaan,,Western Cape,Vredenburg Cc,Langebaan
,Kingsley,Kwazulu/Natal,,,Langlaagte,,,Langlaagte,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Jhb Central Cc,Langlaagte,,Gauteng,Jhb Central Cc,Langlaagte
,Kokstad,Kwazulu/Natal,,,Lansdowne,,,Lansdowne,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Nyanga Cc,Lansdowne,,Western Cape,Nyanga Cc,Lansdowne
,Kranskop,Kwazulu/Natal,,,Laudium,,,Laudium,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Pretoria Central Cc,Laudium,,Gauteng,Pretoria Central Cc,Laudium
,Kwadabeka,Kwazulu/Natal,,,Leboeng,,,Leboeng,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Tubatse Cc,Leboeng,,Limpopo,Tubatse Cc,Leboeng
,Kwadukuza,Kwazulu/Natal,,,Lebowakgomo,,,Lebowakgomo,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Lebowakgomo Cc,Lebowakgomo,,Limpopo,Lebowakgomo Cc,Lebowakgomo
,Kwamakhutha,Kwazulu/Natal,,,Leeu Gamka,,,Leeu Gamka,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Beaufort West Cc,Leeu Gamka,,Western Cape,Beaufort West Cc,Leeu Gamka
,Kwamashu E,Kwazulu/Natal,,,Leeudoringstad,,,Leeudoringstad,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Wolmaransstad Cc,Leeudoringstad,,North West,Wolmaransstad Cc,Leeudoringstad
,Kwambonambi,Kwazulu/Natal,,,Lehurutshe,,,Lehurutshe,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Zeerust Cc,Lehurutshe,,North West,Zeerust Cc,Lehurutshe
,Kwamsane,Kwazulu/Natal,,,Lenasia,,,Lenasia,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Moroka Cc,Lenasia,,Gauteng,Moroka Cc,Lenasia
,Kwandengezi,Kwazulu/Natal,,,Lenasia South,,,Lenasia South,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Moroka Cc,Lenasia South,,Gauteng,Moroka Cc,Lenasia South
,Ladysmith,Kwazulu/Natal,,,Lentegeur,,,Lentegeur,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Mitchells Plain Cc,Lentegeur,,Western Cape,Mitchells Plain Cc,Lentegeur
,Lamontville,Kwazulu/Natal,,,Lephalale,,,Lephalale,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Lephalale Cc,Lephalale,,Limpopo,Lephalale Cc,Lephalale
,Louwsburg,Kwazulu/Natal,,,Leslie,,,Leslie,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Secunda Cc,Leslie,,Mpumalanga,Secunda Cc,Leslie
,Madadeni,Kwazulu/Natal,,,Lethabong,,,Lethabong,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Rustenburg Cc,Lethabong,,North West,Rustenburg Cc,Lethabong
,Magudu,Kwazulu/Natal,,,Lethlabile,,,Lethlabile,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Brits Cc,Lethlabile,,North West,Brits Cc,Lethlabile
,Mahlabathini,Kwazulu/Natal,,,Letsitele,,,Letsitele,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Tzaneen Cc,Letsitele,,Limpopo,Tzaneen Cc,Letsitele
,Malvern,Kwazulu/Natal,,,Levubu,,,Levubu,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Thohoyandou Cc,Levubu,,Limpopo,Thohoyandou Cc,Levubu
,Mandeni,Kwazulu/Natal,,,Libode,,,Libode,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Mthatha Cc,Libode,,Eastern Cape,Mthatha Cc,Libode
,Maphumulo,Kwazulu/Natal,,,Lichtenburg,,,Lichtenburg,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Lichtenburg Cc,Lichtenburg,,North West,Lichtenburg Cc,Lichtenburg
,Margate,Kwazulu/Natal,,,Lime Acres,,,Lime Acres,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Postmasburg Cc,Lime Acres,,Northern Cape,Postmasburg Cc,Lime Acres
,Mariannhill,Kwazulu/Natal,,,Linden,,,Linden,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Hillbrow Cc,Linden,,Gauteng,Hillbrow Cc,Linden
,Maydon Wharf,Kwazulu/Natal,,,Lindley,,,Lindley,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Bethlehem Cc,Lindley,,Free State,Bethlehem Cc,Lindley
,Mayville-Kzn,Kwazulu/Natal,,,Lingelethu-West,,,Lingelethu-West,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Khayelitsha Cc,Lingelethu-West,,Western Cape,Khayelitsha Cc,Lingelethu-West
,Mbazwana,Kwazulu/Natal,,,Loate,,,Loate,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Temba Cc,Loate,,Gauteng,Temba Cc,Loate
,Mbongolwane,Kwazulu/Natal,,,Loeriesfontein,,,Loeriesfontein,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Calvinia Cc,Loeriesfontein,,Northern Cape,Calvinia Cc,Loeriesfontein
,Mehlomnyama,Kwazulu/Natal,,,Lomanyaneng,,,Lomanyaneng,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Mahikeng Cc,Lomanyaneng,,North West,Mahikeng Cc,Lomanyaneng
,Melmoth,Kwazulu/Natal,,,Lothair,,,Lothair,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Ermelo Cc,Lothair,,Mpumalanga,Ermelo Cc,Lothair
,Mid Illovo,Kwazulu/Natal,,,Louwsburg,,,Louwsburg,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Vryheid Cc,Louwsburg,,Kwazulu/Natal,Vryheid Cc,Louwsburg
,Mkhuze,Kwazulu/Natal,,,Low'S Creek,,,Low'S Creek,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Nelspruit Cc,Low'S Creek,,Mpumalanga,Nelspruit Cc,Low'S Creek
,Mondlo,Kwazulu/Natal,,,Loxton,,,Loxton,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Carnarvon Cc,Loxton,,Northern Cape,Carnarvon Cc,Loxton
,Montclair,Kwazulu/Natal,,,Luckhoff,,,Luckhoff,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Koffiefontein Cc,Luckhoff,,Free State,Koffiefontein Cc,Luckhoff
,Mooi River,Kwazulu/Natal,,,Lukholweni,,,Lukholweni,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Matatiele Cc,Lukholweni,,Eastern Cape,Matatiele Cc,Lukholweni
,Mountain Rise,Kwazulu/Natal,,,Lulekani,,,Lulekani,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Phalaborwa Cc,Lulekani,,Limpopo,Phalaborwa Cc,Lulekani
,Mpophomeni,Kwazulu/Natal,,,Lusikisiki,,,Lusikisiki,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Port St Johns Cc,Lusikisiki,,Eastern Cape,Port St Johns Cc,Lusikisiki
,Mpumalanga Kzn,Kwazulu/Natal,,,Lutzville,,,Lutzville,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Vredendal Cc,Lutzville,,Western Cape,Vredendal Cc,Lutzville
,Mpungamhlophe,Kwazulu/Natal,,,Lwandle,,,Lwandle,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Khayelitsha Cc,Lwandle,,Western Cape,Khayelitsha Cc,Lwandle
,Msinga,Kwazulu/Natal,,,Lydenburg,,,Lydenburg,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Lydenburg Cc,Lydenburg,,Mpumalanga,Lydenburg Cc,Lydenburg
,Msinsini,Kwazulu/Natal,,,Lyttelton,,,Lyttelton,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Sunnyside Cc,Lyttelton,,Gauteng,Sunnyside Cc,Lyttelton
,Mtubatuba,Kwazulu/Natal,,,Maake,,,Maake,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Tzaneen Cc,Maake,,Limpopo,Tzaneen Cc,Maake
,Mtunzini,Kwazulu/Natal,,,Maartenshoop,,,Maartenshoop,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Lydenburg Cc,Maartenshoop,,Mpumalanga,Lydenburg Cc,Maartenshoop
,Muden,Kwazulu/Natal,,,Mabopane,,,Mabopane,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Ga-Rankuwa Cc,Mabopane,,Gauteng,Ga-Rankuwa Cc,Mabopane
,Ndumo,Kwazulu/Natal,,,Macassar,,,Macassar,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Khayelitsha Cc,Macassar,,Western Cape,Khayelitsha Cc,Macassar
,Ndwedwe,Kwazulu/Natal,,,Machadodorp,,,Machadodorp,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Belfast Cc,Machadodorp,,Mpumalanga,Belfast Cc,Machadodorp
,New Hanover,Kwazulu/Natal,,,Macleantown,,,Macleantown,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Mdantsane Cc,Macleantown,,Eastern Cape,Mdantsane Cc,Macleantown
,Newark,Kwazulu/Natal,,,Maclear,,,Maclear,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Elliot Cc,Maclear,,Eastern Cape,Elliot Cc,Maclear
,Newcastle,Kwazulu/Natal,,,Madadeni,,,Madadeni,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Newcastle Cc,Madadeni,,Kwazulu/Natal,Newcastle Cc,Madadeni
,Newlands East,Kwazulu/Natal,,,Madeira,,,Madeira,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Mthatha Cc,Madeira,,Eastern Cape,Mthatha Cc,Madeira
,Ngome,Kwazulu/Natal,,,Madibogo,,,Madibogo,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Vryburg Cc,Madibogo,,North West,Vryburg Cc,Madibogo
,Nhlanhleni,Kwazulu/Natal,,,Madikwe,,,Madikwe,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Zeerust Cc,Madikwe,,North West,Zeerust Cc,Madikwe
,Nkandla,Kwazulu/Natal,,,Mafube,,,Mafube,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Mafube Cc,Mafube,,Free State,Mafube Cc,Mafube
,Nondweni,Kwazulu/Natal,,,Magaliesburg,,,Magaliesburg,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Krugersdorp Cc,Magaliesburg,,Gauteng,Krugersdorp Cc,Magaliesburg
,Nongoma,Kwazulu/Natal,,,Magatle,,,Magatle,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Mahwelereng Cc,Magatle,,Limpopo,Mahwelereng Cc,Magatle
,Normandien,Kwazulu/Natal,,,Magudu,,,Magudu,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Ulundi Cc,Magudu,,Kwazulu/Natal,Ulundi Cc,Magudu
,Nottingham Road,Kwazulu/Natal,,,Mahamba,,,Mahamba,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Piet Retief Cc,Mahamba,,Mpumalanga,Piet Retief Cc,Mahamba
,Nquthu,Kwazulu/Natal,,,Mahikeng,,,Mahikeng,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Mahikeng Cc,Mahikeng,,North West,Mahikeng Cc,Mahikeng
,Nsuze,Kwazulu/Natal,,,Mahlabathini,,,Mahlabathini,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Ulundi Cc,Mahlabathini,,Kwazulu/Natal,Ulundi Cc,Mahlabathini
,Ntabamhlophe,Kwazulu/Natal,,,Mahwelereng,,,Mahwelereng,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Mahwelereng Cc,Mahwelereng,,Limpopo,Mahwelereng Cc,Mahwelereng
,Ntambanana,Kwazulu/Natal,,,Maitland,,,Maitland,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Cape Town Central Cc,Maitland,,Western Cape,Cape Town Central Cc,Maitland
,Ntuzuma,Kwazulu/Natal,,,Makapanstad,,,Makapanstad,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Mmakau Cc,Makapanstad,,North West,Mmakau Cc,Makapanstad
,Nyoni,Kwazulu/Natal,,,Makgobistad,,,Makgobistad,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Mahikeng Cc,Makgobistad,,North West,Mahikeng Cc,Makgobistad
,Osizweni,Kwazulu/Natal,,,Makhado,,,Makhado,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Makhado Cc,Makhado,,Limpopo,Makhado Cc,Makhado
,Paddock,Kwazulu/Natal,,,Makuya,,,Makuya,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Thohoyandou Cc,Makuya,,Limpopo,Thohoyandou Cc,Makuya
,Paulpietersburg,Kwazulu/Natal,,,Makwane,,,Makwane,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Phuthaditjhaba Cc,Makwane,,Free State,Phuthaditjhaba Cc,Makwane
,Phoenix,Kwazulu/Natal,,,Makwassie,,,Makwassie,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Wolmaransstad Cc,Makwassie,,North West,Wolmaransstad Cc,Makwassie
,Pietermaritzburg,Kwazulu/Natal,,,Malamulele,,,Malamulele,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Giyani Cc,Malamulele,,Limpopo,Giyani Cc,Malamulele
,Pinetown,Kwazulu/Natal,,,Maleboho,,,Maleboho,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Seshego Cc,Maleboho,,Limpopo,Seshego Cc,Maleboho
,Plessislaer,Kwazulu/Natal,,,Malelane,,,Malelane,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Tonga Cc,Malelane,,Mpumalanga,Tonga Cc,Malelane
,Point,Kwazulu/Natal,,,Maletswai,,,Maletswai,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Aliwal North Cc,Maletswai,,Eastern Cape,Aliwal North Cc,Maletswai
,Pongola,Kwazulu/Natal,,,Malipsdrift,,,Malipsdrift,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Lebowakgomo Cc,Malipsdrift,,Limpopo,Lebowakgomo Cc,Malipsdrift
,Port Edward,Kwazulu/Natal,,,Malmesbury,,,Malmesbury,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Paarl Cc,Malmesbury,,Western Cape,Paarl Cc,Malmesbury
,Port Shepstone,Kwazulu/Natal,,,Maluti,,,Maluti,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Matatiele Cc,Maluti,,Eastern Cape,Matatiele Cc,Maluti
,Prestbury,Kwazulu/Natal,,,Malvern,,,Malvern,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Chatsworth Cc,Malvern,,Kwazulu/Natal,Chatsworth Cc,Malvern
,Richards Bay,Kwazulu/Natal,,,Mamelodi,,,Mamelodi,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Mamelodi Cc,Mamelodi,,Gauteng,Mamelodi Cc,Mamelodi
,Richmond-Kzn,Kwazulu/Natal,,,Mamelodi East,,,Mamelodi East,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Mamelodi Cc,Mamelodi East,,Gauteng,Mamelodi Cc,Mamelodi East
,Rietvlei,Kwazulu/Natal,,,Mandeni,,,Mandeni,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Kwadukuza Cc,Mandeni,,Kwazulu/Natal,Kwadukuza Cc,Mandeni
,Sawoti,Kwazulu/Natal,,,Manenberg,,,Manenberg,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Nyanga Cc,Manenberg,,Western Cape,Nyanga Cc,Manenberg
,Scottburgh,Kwazulu/Natal,,,Mangaung,,,Mangaung,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Mangaung Cc,Mangaung,,Free State,Mangaung Cc,Mangaung
,Southport,Kwazulu/Natal,,,Mankweng,,,Mankweng,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Polokwane Cc,Mankweng,,Limpopo,Polokwane Cc,Mankweng
,St Faiths,Kwazulu/Natal,,,Maokeng,,,Maokeng,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Kroonstad Cc,Maokeng,,Free State,Kroonstad Cc,Maokeng
,Sundumbili,Kwazulu/Natal,,,Maphumulo,,,Maphumulo,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Kwadukuza Cc,Maphumulo,,Kwazulu/Natal,Kwadukuza Cc,Maphumulo
,Swartberg,Kwazulu/Natal,,,Mara,,,Mara,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Makhado Cc,Mara,,Limpopo,Makhado Cc,Mara
,Sydenham,Kwazulu/Natal,,,Marble Hall,,,Marble Hall,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Groblersdal Cc,Marble Hall,,Limpopo,Groblersdal Cc,Marble Hall
,Taylors Halt,Kwazulu/Natal,,,Margate,,,Margate,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Margate Cc,Margate,,Kwazulu/Natal,Margate Cc,Margate
,Thornville,Kwazulu/Natal,,,Mariannhill,,,Mariannhill,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Chatsworth Cc,Mariannhill,,Kwazulu/Natal,Chatsworth Cc,Mariannhill
,Tongaat,Kwazulu/Natal,,,Marikana,,,Marikana,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Rustenburg Cc,Marikana,,North West,Rustenburg Cc,Marikana
,Town Hill,Kwazulu/Natal,,,Marquard,,,Marquard,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Ficksburg Cc,Marquard,,Free State,Ficksburg Cc,Marquard
,Ulundi,Kwazulu/Natal,,,Marydale,,,Marydale,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Prieska Cc,Marydale,,Northern Cape,Prieska Cc,Marydale
,Umbilo,Kwazulu/Natal,,,Masemola,,,Masemola,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Lebowakgomo Cc,Masemola,,Limpopo,Lebowakgomo Cc,Masemola
,Umbumbulu,Kwazulu/Natal,,,Mashashane,,,Mashashane,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Seshego Cc,Mashashane,,Limpopo,Seshego Cc,Mashashane
,Umhlali,Kwazulu/Natal,,,Masisi,,,Masisi,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Musina Cc,Masisi,,Limpopo,Musina Cc,Masisi
,Umkomaas,Kwazulu/Natal,,,Masoyi,,,Masoyi,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Pienaar Cc,Masoyi,,Mpumalanga,Pienaar Cc,Masoyi
,Umlazi,Kwazulu/Natal,,,Matatiele,,,Matatiele,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Matatiele Cc,Matatiele,,Eastern Cape,Matatiele Cc,Matatiele
,Umsunduzi,Kwazulu/Natal,,,Matlala,,,Matlala,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Seshego Cc,Matlala,,Limpopo,Seshego Cc,Matlala
,Umzimkhulu,Kwazulu/Natal,,,Matsulu,,,Matsulu,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Pienaar Cc,Matsulu,,Mpumalanga,Pienaar Cc,Matsulu
,Umzinto,Kwazulu/Natal,,,Maydon Wharf,,,Maydon Wharf,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Kwazulu-Natal: Ports Of Entry: Sea,Maydon Wharf,,Kwazulu/Natal,Kwazulu-Natal: Ports Of Entry: Sea,Maydon Wharf
,Upper Tugela,Kwazulu/Natal,,,Mayflower,,,Mayflower,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Elukwatini Cc,Mayflower,,Mpumalanga,Elukwatini Cc,Mayflower
,Utrecht,Kwazulu/Natal,,,Mayville-Kzn,,,Mayville-Kzn,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Brighton Beach Cc,Mayville-Kzn,,Kwazulu/Natal,Brighton Beach Cc,Mayville-Kzn
,Van Reenen,Kwazulu/Natal,,,Mbazwana,,,Mbazwana,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Jozini Cc,Mbazwana,,Kwazulu/Natal,Jozini Cc,Mbazwana
,Verulam,Kwazulu/Natal,,,Mbekweni,,,Mbekweni,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Paarl Cc,Mbekweni,,Western Cape,Paarl Cc,Mbekweni
