,Station / Province,Province,,,,,,Station / Province,Province,,,,Eastern Cape,,,Joza,Eastern Cape,,,,,,,,,CLUSTER,PROVINCE,,Cluster,,,,Murder,,,Murder,,,,CLUSTER,PROVINCE,,,,,,,,,,Province,Cluster,Station,,Province,Cluster,Station
,Buffalo Flats,Eastern Cape,,,Apel,,,Apel,Limpopo,,,,,,,,,,,,,,,,,WHITTLESEA CC,EASTERN CAPE,,Claremont Cc,,,,,,,Carjacking,,,,WHITTLESEA CC,EASTERN CAPE,,,,,,,,,,Limpopo,Lebowakgomo Cc,Apel,,Limpopo,Lebowakgomo Cc,Apel
,Burgersdorp,Eastern Cape,,,Arlington,,,Arlington,Free State,,,,,,,,,,,,,,,,,WILLOWMORE CC,EASTERN CAPE,,Cofimvaba Cc,,,,,,,Truck hijacking,,,,WILLOWMORE CC,EASTERN CAPE,,,,,,,,,,Free State,Bethlehem Cc,Arlington,,Free State,Bethlehem Cc,Arlington
,Butterworth,Eastern Cape,,,Ashton,,,Ashton,Western Cape,,,,,,,,,,,,,,,,,BETHLEHEM CC,FREE STATE,,Cradock Cc,,,,,,,Robbery of cash in transit,,,,BETHLEHEM CC,FREE STATE,,,,,,,,,,Western Cape,Worcester Cc,Ashton,,Western Cape,Worcester Cc,Ashton
,Cala,Eastern Cape,,,Assen,,,Assen,North West,,,,,,,,,,,,,,,,,BULTFONTEIN CC,FREE STATE,,Da Gamaskop Cc,,,,,,,Bank robbery,,,,BULTFONTEIN CC,FREE STATE,,,,,,,,,,North West,Brits Cc,Assen,,North West,Brits Cc,Assen
,Cambridge,Eastern Cape,,,Atamelang,,,Atamelang,North West,,,,,,,,,,,,,,,,,FICKSBURG CC,FREE STATE,,De Aar Cc,,,,,,,Robbery at residential premises,,,,FICKSBURG CC,FREE STATE,,,,,,,,,,North West,Lichtenburg Cc,Atamelang,,North West,Lichtenburg Cc,Atamelang
,Cathcart,Eastern Cape,,,Athlone,,,Athlone,Western Cape,,,,,,,,,,,,,,,,,KOFFIEFONTEIN CC,FREE STATE,,Delft Cc,,,,,,,Robbery at non-residential premises,,,,KOFFIEFONTEIN CC,FREE STATE,,,,,,,,,,Western Cape,Nyanga Cc,Athlone,,Western Cape,Nyanga Cc,Athlone
,Cedarville,Eastern Cape,,,Atlantis,,,Atlantis,Western Cape,,,,,,,,,,,,,,,,,KROONSTAD CC,FREE STATE,,Dundee Cc,,,,,,,,,,,KROONSTAD CC,FREE STATE,,,,,,,,,,Western Cape,Milnerton Cc,Atlantis,,Western Cape,Milnerton Cc,Atlantis
,Centane,Eastern Cape,,,Atteridgeville,,,Atteridgeville,Gauteng,,,,,,,,,,,,,,,,,LADYBRAND CC,FREE STATE,,Durban Central Cc,,,,,,,,,,,LADYBRAND CC,FREE STATE,,,,,,,,,,Gauteng,Pretoria Central Cc,Atteridgeville,,Gauteng,Pretoria Central Cc,Atteridgeville
,Chalumna,Eastern Cape,,,Augrabies,,,Augrabies,Northern Cape,,,,,,,,,,,,,,,,,MAFUBE CC,FREE STATE,,East London Cc,,,,,,,,,,,MAFUBE CC,FREE STATE,,,,,,,,,,Northern Cape,Kakamas Cc,Augrabies,,Northern Cape,Kakamas Cc,Augrabies
,Chungwa,Eastern Cape,,,Avondale,,,Avondale,Eastern Cape,,,,,,,,,,,,,,,,,MANGAUNG CC,FREE STATE,,Elliot Cc,,,,Illegal possession of firearms and ammunition,,,,,,,MANGAUNG CC,FREE STATE,,,,,,,,,,Eastern Cape,Matatiele Cc,Avondale,,Eastern Cape,Matatiele Cc,Avondale
