Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Mpumalanga,Vosman,Sexual Offences,243,195,183,172,195,154,162,177,166,150,148,1,-6.627272727272722,209.9545454545455
Gauteng,Daveyton,Sexual Offences,149,140,148,157,161,144,121,134,111,80,93,1,-6.518181818181813,163.31818181818184
Mpumalanga,Kwamhlanga,Sexual Offences,168,146,152,170,169,176,162,107,102,122,102,1,-6.44545454545454,175.49999999999997
Limpopo,Thohoyandou,Sexual Offences,332,320,311,331,281,302,308,271,277,299,248,1,-6.35454545454544,329.95454545454544
Western Cape,Bishop Lavis,Sexual Offences,173,183,128,101,124,111,123,132,129,85,99,1,-6.345454545454544,157.90909090909093
Northern Cape,Kimberley,Sexual Offences,157,149,133,160,117,128,120,103,125,102,82,1,-6.345454545454542,156.81818181818187
Kwazulu/Natal,Hillcrest,Sexual Offences,122,123,113,123,135,102,97,80,78,69,72,1,-6.31818181818182,132.8636363636364
Eastern Cape,Libode,Sexual Offences,296,110,120,99,88,115,105,115,154,106,131,1,-6.272727272727274,162.1818181818182
Gauteng,Loate,Sexual Offences,171,187,146,149,133,134,141,137,131,110,108,1,-6.2181818181818125,171.7272727272727
Gauteng,Rabie Ridge,Sexual Offences,125,137,114,126,108,101,94,98,104,67,65,1,-6.181818181818179,134.45454545454547
Western Cape,Atlantis,Sexual Offences,182,133,119,139,124,127,141,87,98,96,109,1,-6.027272727272718,153.31818181818178
Western Cape,Kuilsrivier,Sexual Offences,176,113,84,72,85,90,88,77,65,81,79,1,-5.972727272727275,121.68181818181824
Kwazulu/Natal,Cato Manor,Sexual Offences,162,114,132,142,131,118,147,112,86,100,79,1,-5.936363636363635,149.9545454545455
Limpopo,Dennilton,Sexual Offences,150,135,137,121,145,111,103,99,101,93,92,1,-5.927272727272722,146.63636363636363
Gauteng,Jabulani,Sexual Offences,137,129,128,111,138,110,94,76,90,96,79,1,-5.909090909090905,137.54545454545456
Gauteng,Boksburg,Sexual Offences,91,81,88,101,65,47,40,41,41,41,53,1,-5.78181818181818,91.54545454545456
Kwazulu/Natal,Chatsworth,Sexual Offences,187,149,146,191,151,173,153,173,130,116,103,1,-5.763636363636371,180.81818181818193
Mpumalanga,Tweefontein,Sexual Offences,82,89,67,65,68,73,43,33,39,38,31,1,-5.745454545454544,85.81818181818184
Free State,Kopanong,Sexual Offences,157,167,149,161,142,118,139,157,104,121,97,1,-5.7272727272727195,166.09090909090907
Gauteng,Dawn Park,Sexual Offences,95,91,126,249,99,117,85,87,71,81,79,1,-5.663636363636358,135.59090909090907
Kwazulu/Natal,Mariannhill,Sexual Offences,170,160,146,189,148,157,181,171,148,102,93,1,-5.581818181818183,179.27272727272734
Northern Cape,Kakamas,Sexual Offences,106,94,55,79,35,32,28,38,42,38,54,1,-5.563636363636358,82.45454545454544
Mpumalanga,Mhluzi,Sexual Offences,106,104,94,97,101,83,76,73,76,57,48,1,-5.500000000000001,110.6818181818182
Eastern Cape,Kamesh,Sexual Offences,143,123,115,135,136,124,111,83,116,86,77,1,-5.490909090909087,141.0
Eastern Cape,Humansdorp,Sexual Offences,94,83,81,112,86,80,58,58,47,48,50,1,-5.4363636363636365,99.63636363636364
Western Cape,Mfuleni,Sexual Offences,193,244,191,268,256,210,220,164,190,177,180,1,-5.2727272727272725,234.81818181818187
Eastern Cape,Motherwell,Sexual Offences,210,234,158,138,157,162,139,165,179,151,142,1,-5.209090909090906,192.86363636363637
Gauteng,Actonville,Sexual Offences,80,90,65,64,68,53,59,35,45,40,31,1,-5.1999999999999975,83.2727272727273
Gauteng,Naledi,Sexual Offences,88,101,100,105,87,74,63,72,51,53,61,1,-5.127272727272723,103.36363636363636
Gauteng,Alexandra,Sexual Offences,305,235,211,275,227,243,214,276,258,219,179,1,-5.127272727272721,265.81818181818176
Western Cape,Kleinvlei,Sexual Offences,231,195,125,117,167,176,169,140,116,149,151,1,-5.118181818181814,183.40909090909088
Gauteng,Kwa Thema,Sexual Offences,133,148,132,140,144,134,114,99,96,95,107,1,-5.109090909090909,147.54545454545456
North West,Vryburg,Sexual Offences,116,77,55,59,53,41,42,48,55,41,39,1,-5.109090909090907,82.45454545454544
Gauteng,Khutsong,Sexual Offences,114,106,112,106,104,77,107,71,53,72,78,1,-5.090909090909093,116.36363636363642
Eastern Cape,Port Alfred,Sexual Offences,69,74,28,18,17,15,17,18,11,22,9,1,-5.08181818181818,52.500000000000014
North West,Phokeng,Sexual Offences,165,155,161,192,161,132,135,123,132,126,127,1,-5.063636363636359,171.59090909090912
Kwazulu/Natal,Mpumalanga Kzn,Sexual Offences,116,122,127,128,137,94,98,106,94,70,83,1,-5.04545454545454,132.04545454545453
Kwazulu/Natal,Tongaat,Sexual Offences,106,134,85,119,86,81,88,78,85,71,62,1,-5.018181818181817,115.54545454545456
Mpumalanga,Embalenhle,Sexual Offences,159,141,146,156,159,131,135,140,120,101,108,1,-4.990909090909091,160.95454545454552
Gauteng,Rosebank,Sexual Offences,5,12,48,212,8,11,6,5,10,6,6,1,-4.9909090909090885,54.86363636363636
Mpumalanga,Ermelo,Sexual Offences,164,140,141,151,166,163,128,143,118,109,105,1,-4.927272727272724,163.54545454545456
Western Cape,Worcester,Sexual Offences,247,190,188,156,222,199,221,204,170,163,152,1,-4.927272727272719,216.63636363636363
Gauteng,Etwatwa,Sexual Offences,150,187,148,146,174,175,157,138,134,133,100,1,-4.918181818181816,173.86363636363637
Mpumalanga,Middelburg Mpumalang,Sexual Offences,108,63,84,110,106,93,96,75,65,51,39,1,-4.818181818181811,104.99999999999997
Western Cape,Woodstock,Sexual Offences,51,68,57,47,54,44,32,23,20,18,24,1,-4.69090909090909,63.27272727272728
