Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Western Cape,Kraaifontein,Murder,113,113,118,100,77,78,94,121,112,141,152,1,3.163636363636368,94.99999999999997
Western Cape,Philippi East,Murder,61,62,75,67,56,42,57,47,73,87,122,1,3.2727272727272756,51.72727272727274
Eastern Cape,Willowvale,Murder,56,43,50,56,52,37,65,68,67,72,88,1,3.309090909090909,42.909090909090914
Gauteng,Springs,Murder,31,44,42,47,41,49,35,41,55,69,80,1,3.327272727272728,31.909090909090914
Eastern Cape,Mlungisi,Murder,0,0,0,0,0,0,0,19,26,22,32,1,3.4999999999999987,-4.999999999999974
Gauteng,Katlehong North,Murder,0,0,0,0,0,0,0,29,45,41,43,1,3.8000000000000043,7.199999999999981
Eastern Cape,Bethelsdorp,Murder,62,79,66,68,66,55,66,67,68,89,137,1,3.80909090909091,55.772727272727295
Western Cape,Bishop Lavis,Murder,48,36,51,46,36,36,54,59,73,82,77,1,3.9909090909090916,34.409090909090914
Western Cape,Steenberg,Murder,13,14,17,10,9,36,23,22,42,43,58,1,4.127272727272727,5.454545454545464
Mpumalanga,Pienaar,Murder,0,0,0,0,0,0,19,26,23,30,38,1,4.2,-6.400000000000001
North West,Boitekong,Murder,24,21,25,17,19,48,60,53,60,58,54,1,4.690909090909091,16.454545454545457
Western Cape,Belhar,Murder,0,0,1,5,8,11,14,26,34,30,36,1,4.7,-9.866666666666676
Western Cape,Philippi,Murder,32,42,28,19,17,31,35,71,61,74,67,1,4.763636363636364,19.54545454545455
Gauteng,Diepsloot,Murder,0,0,0,0,0,37,52,69,65,59,68,1,4.914285714285714,21.4761904761905
Western Cape,Elsies River,Murder,14,31,24,16,18,23,36,40,60,69,58,1,4.963636363636363,10.545454545454547
Western Cape,Mfuleni,Murder,61,97,109,105,72,68,67,99,118,154,139,1,5.709090909090908,70.45454545454548
Western Cape,Delft,Murder,87,114,122,72,72,70,87,113,144,163,143,1,5.809090909090912,78.86363636363636
Kwazulu/Natal,Kwamashu E,Murder,0,0,0,0,0,78,114,120,128,107,128,1,6.771428571428573,61.714285714285744
Gauteng,Tembisa South,Murder,0,0,0,0,0,0,0,0,0,30,37,1,7.000000000000023,-33.00000000000023
Eastern Cape,Joza,Murder,0,0,0,0,0,0,0,0,5,26,21,1,8.000000000000014,-54.666666666666764
Western Cape,Mitchells Plain,Murder,46,65,57,59,54,64,66,90,156,141,119,1,9.454545454545455,36.09090909090911
Eastern Cape,Scenery Park,Murder,0,0,0,0,0,0,0,0,0,19,32,1,13.000000000000025,-98.00000000000028
Western Cape,Lentegeur,Murder,0,0,0,0,0,0,0,0,13,40,51,1,19.000000000000025,-136.3333333333335
